video,duration_s,cascade_latency_s,cascade_cost_usd,adaframe_frames,uniform_frames,vlm_cost_adaframe,vlm_cost_uniform,total_adaframe,total_uniform,net_saving_usd,saving_pct
54WiJFln6I0.mp4,60.0,215.71,0.02996,56,60,0.644,0.69,0.674,0.69,0.016,2.3
4b9Ji7DvsjU.mp4,90.3,389.83,0.054143,26,90,0.299,1.035,0.3531,1.035,0.6819,65.9
4c43WKFcn4c.mp4,60.6,390.74,0.054269,51,60,0.5865,0.69,0.6408,0.69,0.0492,7.1
58ldzvk0t50.mp4,92.7,186.6,0.025917,20,92,0.23,1.058,0.2559,1.058,0.8021,75.8
5CaMUfxVJVQ.mp4,59.7,59.65,0.008285,18,59,0.207,0.6785,0.2153,0.6785,0.4632,68.3
4k0AGQyMbFE.mp4,118.1,433.22,0.06017,47,118,0.5405,1.357,0.6007,1.357,0.7563,55.7
5JLBU-QQpoo.mp4,78.3,39.33,0.005462,8,78,0.092,0.897,0.0975,0.897,0.7995,89.1
5JuVHCJVYf4.mp4,30.0,33.94,0.004713,9,30,0.1035,0.345,0.1082,0.345,0.2368,68.6
5DCow4J-pDE.mp4,60.1,98.2,0.013638,38,60,0.437,0.69,0.4506,0.69,0.2394,34.7
4vGcH0Bk3hg.mp4,106.3,405.89,0.056373,38,106,0.437,1.219,0.4934,1.219,0.7256,59.5
5UzfYJ-mkzc.mp4,30.0,41.47,0.00576,12,30,0.138,0.345,0.1438,0.345,0.2012,58.3
5Ea5lKyWxGc.mp4,66.0,142.11,0.019737,18,65,0.207,0.7475,0.2267,0.7475,0.5208,69.7
5AaacAMljG8.mp4,60.1,330.16,0.045856,46,60,0.529,0.69,0.5749,0.69,0.1151,16.7
5gKjLV2wKmg.mp4,30.7,47.86,0.006647,18,30,0.207,0.345,0.2136,0.345,0.1314,38.1
5W4MYJt8c4w.mp4,30.8,103.15,0.014327,25,30,0.2875,0.345,0.3018,0.345,0.0432,12.5
5J58i_qbQxY.mp4,60.0,207.4,0.028805,24,60,0.276,0.69,0.3048,0.69,0.3852,55.8
5lAf59TrJ4I.mp4,76.9,120.26,0.016703,30,76,0.345,0.874,0.3617,0.874,0.5123,58.6
60ewmq3ui7A.mp4,17.1,51.6,0.007166,19,17,0.2185,0.1955,0.2257,0.1955,-0.0302,-15.4
64G5FfG2Xpg.mp4,82.0,101.7,0.014126,10,81,0.115,0.9315,0.1291,0.9315,0.8024,86.1
5VPFKnBYOSI.mp4,62.1,241.13,0.03349,75,62,0.8625,0.713,0.896,0.713,-0.183,-25.7
6-BPFPwv8RQ.mp4,63.8,136.38,0.018941,23,63,0.2645,0.7245,0.2834,0.7245,0.4411,60.9
5o9Dp6D91fI.mp4,113.5,172.32,0.023934,32,113,0.368,1.2995,0.3919,1.2995,0.9076,69.8
694TX2lQ7Uo.mp4,31.8,75.26,0.010452,15,31,0.1725,0.3565,0.183,0.3565,0.1735,48.7
6AOvnPY_d-U.mp4,35.0,25.05,0.003479,13,35,0.1495,0.4025,0.153,0.4025,0.2495,62.0
6AR0xq6g5Uo.mp4,14.9,45.38,0.006303,14,14,0.161,0.161,0.1673,0.161,-0.0063,-3.9
5R8euGTHBR8.mp4,83.3,323.4,0.044916,49,83,0.5635,0.9545,0.6084,0.9545,0.3461,36.3
69MpLiYhsXw.mp4,60.0,64.67,0.008982,30,60,0.345,0.69,0.354,0.69,0.336,48.7
6T2olgjnDWY.mp4,30.1,25.36,0.003523,15,30,0.1725,0.345,0.176,0.345,0.169,49.0
6Obj5eoSpu8.mp4,29.6,29.66,0.004119,6,29,0.069,0.3335,0.0731,0.3335,0.2604,78.1
6bJOIqVAD-s.mp4,30.0,28.96,0.004023,7,29,0.0805,0.3335,0.0845,0.3335,0.249,74.7
6PKAv5OPf40.mp4,15.4,32.77,0.004551,13,15,0.1495,0.1725,0.1541,0.1725,0.0184,10.7
67jh16fASvI.mp4,98.1,173.5,0.024098,39,98,0.4485,1.127,0.4726,1.127,0.6544,58.1
6dwjoUYvHs8.mp4,32.0,35.63,0.004949,10,31,0.115,0.3565,0.1199,0.3565,0.2366,66.4
6iQ7ZDUutU4.mp4,62.8,47.05,0.006535,23,62,0.2645,0.713,0.271,0.713,0.442,62.0
6kYqjTA_VEg.mp4,47.2,36.41,0.005058,17,47,0.1955,0.5405,0.2006,0.5405,0.3399,62.9
6h3G-lMZxjo.mp4,74.1,79.67,0.011066,29,74,0.3335,0.851,0.3446,0.851,0.5064,59.5
6e3z2H1O5zE.mp4,120.1,84.95,0.011798,36,120,0.414,1.38,0.4258,1.38,0.9542,69.1
6FSOKnW9BLI.mp4,120.2,171.94,0.02388,52,120,0.598,1.38,0.6219,1.38,0.7581,54.9
6uLBrg6ai0c.mp4,20.0,60.48,0.0084,8,19,0.092,0.2185,0.1004,0.2185,0.1181,54.1
7-OnEe-dauE.mp4,30.3,33.24,0.004617,10,30,0.115,0.345,0.1196,0.345,0.2254,65.3
6uhCxBk6cQE.mp4,66.4,61.95,0.008604,13,66,0.1495,0.759,0.1581,0.759,0.6009,79.2
7Ac2cZPOD00.mp4,30.8,34.98,0.004859,9,30,0.1035,0.345,0.1084,0.345,0.2366,68.6
6xy_lt-Z5b0.mp4,46.3,100.32,0.013933,42,46,0.483,0.529,0.4969,0.529,0.0321,6.1
6jyAEqhfHTE.mp4,100.0,181.15,0.02516,32,100,0.368,1.15,0.3932,1.15,0.7568,65.8
7Cqz-S8Phv8.mp4,30.0,31.38,0.004358,14,30,0.161,0.345,0.1654,0.345,0.1796,52.1
7ClI2bp__Bs.mp4,30.0,56.56,0.007856,28,30,0.322,0.345,0.3299,0.345,0.0151,4.4
7Guufs3mdgg.mp4,39.9,14.77,0.002051,2,39,0.023,0.4485,0.0251,0.4485,0.4234,94.4
7GKuZu9xkj0.mp4,30.0,55.7,0.007736,21,30,0.2415,0.345,0.2492,0.345,0.0958,27.8
7AuhjzxAudY.mp4,46.3,121.08,0.016816,22,46,0.253,0.529,0.2698,0.529,0.2592,49.0
7MJu_aWn1nI.mp4,14.6,14.79,0.002055,3,14,0.0345,0.161,0.0366,0.161,0.1244,77.3
7Kb3rDbBWEI.mp4,20.3,31.64,0.004395,6,20,0.069,0.23,0.0734,0.23,0.1566,68.1
